AL012000,            UNNAMED,      4,
20000816, 0000,  , TS, 36.1N,  39.4W,  40, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000816, 0600,  , TS, 35.4N,  40.2W,  40, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000816, 1200,  , TS, 34.6N,  41.3W,  40, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000816, 1800,  , TS, 33.9N,  42.4W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000817, 0000,  , TS, 33.4N,  43.5W,  45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000817, 0600,  , TS, 33.0N,  44.2W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000817, 1200,  , TS, 33.0N,  44.9W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000817, 1800,  , TS, 33.0N,  45.8W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000818, 0000,  , TS, 33.2N,  46.5W,  55,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000818, 0600,  , TS, 33.6N,  47.1W,  55,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000818, 1200,  , TS, 34.2N,  47.6W,  60,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000818, 1800,  , HU, 34.7N,  48.0W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000819, 0000,  , HU, 34.9N,  48.1W,  75,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000819, 0600,  , HU, 35.3N,  48.2W,  80,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000819, 1200,  , HU, 35.6N,  48.2W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000819, 1800,  , HU, 36.0N,  48.2W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000820, 0000,  , HU, 36.4N,  48.1W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
